profile,index,source_row,case_id,ia,ib,ic,theta_e,we,id_ref,iq_ref,vdc,pi_reset,uq_zero_en,i_alpha_source,i_alpha_fixed,i_alpha_error,i_beta_source,i_beta_fixed,i_beta_error,id_source,id_fixed,id_error,iq_source,iq_fixed,iq_error,ud_lim_source,ud_lim_fixed,ud_lim_error,uq_lim_source,uq_lim_fixed,uq_lim_error,v_alpha_source,v_alpha_fixed,v_alpha_error,v_beta_source,v_beta_fixed,v_beta_error,ud_raw_source,ud_raw_fixed,ud_raw_error,uq_raw_source,uq_raw_fixed,uq_raw_error,t1_source,t1_fixed,t1_error,t2_source,t2_fixed,t2_error,duty_u_source,duty_u_fixed,duty_u_error,duty_v_source,duty_v_fixed,duty_v_error,duty_w_source,duty_w_fixed,duty_w_error,du_d_z_source,du_d_z_fixed,du_d_z_error,du_q_z_source,du_q_z_fixed,du_q_z_error,sector_source,sector_fixed,sat_old_source,sat_old_fixed
0,10,11,common_mode_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,11,12,common_mode,32768,32768,32768,0,0,0,0,1572864,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,12,13,angle_0.0000_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,13,14,angle_0.0000_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,14,15,angle_0.0000,6554,-9830,3277,0,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.43625,1.744842529296875,1.308592529296875,0.0674881098679486,0.26971435546875,0.20222624560080138,0.43625,1.744842529296875,1.308592529296875,0.0674881098679486,0.26971435546875,0.20222624560080138,0.43625,1.7448402643203735,1.3085902643203735,0.0674881098679486,0.26972734928131104,0.20223923941336241,0.012415214517799098,0.04966023261658847,0.03724501809878938,0.0024353365646306996,0.009732754901051521,0.007297418336420822,0.49257472445878503,0.4703035354614258,0.022271188997359248,0.5049899389765841,0.5199637413024902,0.014973802325906171,0.507425275541215,0.5296964645385742,0.022271188997359248,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
0,15,16,angle_1.5708_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,16,17,angle_1.5708_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,17,18,angle_1.5708,6554,-9830,3277,16384,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,-0.2,-0.20001220703125,1.2207031249988898e-05,1.37623810986795,5.504791259765625,4.128553149897675,0.0,0.0,0.0,1.68540559611439e-16,0.0,1.68540559611439e-16,1.37623810986795,5.504791259765625,4.128553149897675,1.37623810986795,5.50478059053421,4.12854248066626,0.0,0.0,0.0,0.0248296292322009,0.09931560908444226,0.07448597985224135,0.0248296292322009,0.09931560908444226,0.07448597985224135,0.5,0.5,0.0,0.475170370767799,0.4006844162940979,0.0744859544737011,0.524829629232201,0.5993155837059021,0.0744859544737011,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0,18,19,angle_3.1416_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,19,20,angle_3.1416_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,20,21,angle_3.1416,6554,-9830,3277,32768,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,-0.2,-0.20001220703125,1.2207031249988898e-05,0.23094010767585,0.230926513671875,1.3594003974992663e-05,1.30875,5.23504638671875,3.92629638671875,-0.939988109867949,-3.75994873046875,2.819960620600801,-1.30875,-5.23504638671875,3.92629638671875,0.939988109867949,3.75994873046875,2.819960620600801,1.30875,5.235053241252899,3.9263032412528993,-0.939988109867949,-3.7599403262138367,2.8199522163458877,0.0339198626062974,0.1356793164741248,0.10175945386782739,0.023939485351132397,0.09575945790857077,0.07181997255743837,0.5289296739787149,0.6157193779945374,0.08678970401582242,0.471070326021285,0.38428062200546265,0.08678970401582237,0.504990188627582,0.5199599266052246,0.014969737977642561,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0
0,21,22,angle_4.7124_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,22,23,angle_4.7124_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
