row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
26,real_commissioning,angle_6.2832,14295,2211,1572864,3,3,1,0,0.0124152145177991,0.0124154244549572467803955078125,2.099371581467803955078125E-7,0.0024353365646307,0.00243484065867960453033447265625,4.9590595109546966552734375E-7,0.492574724458785,0.492574870586395263671875,1.46127610263671875E-7,0.504989938976584,0.504990279674530029296875,3.40697946029296875E-7,0.507425275541215,0.507425129413604736328125,1.46127610263671875E-7
27,real_commissioning,sector_15_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
28,real_commissioning,sector_15_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
29,real_commissioning,sector_15,69040,18499,1572864,3,3,1,0,0.0556560227584391,0.0556563478894531726837158203125,3.251310140726837158203125E-7,0.020371987414024,0.02037182985804975032806396484375,1.5755597424967193603515625E-7,0.461985994913769,0.461985886096954345703125,1.08816814654296875E-7,0.517642017672208,0.5176422595977783203125,2.419255703203125E-7,0.538014005086232,0.538014113903045654296875,1.08816813654296875E-7
30,real_commissioning,sector_75_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
31,real_commissioning,sector_75_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
32,real_commissioning,sector_75,18499,69040,1572864,1,1,1,0,0.0203702937593074,0.0203705723397433757781982421875,2.785804359757781982421875E-7,0.0556546088924245,0.0556546146981418132781982421875,5.8057173132781982421875E-9,0.482357842433441,0.48235797882080078125,1.3638735978125E-7,0.461987548674134,0.461987435817718505859375,1.12856415494140625E-7,0.538012451325866,0.538012564182281494140625,1.12856415494140625E-7
33,real_commissioning,sector_135_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
34,real_commissioning,sector_135_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
35,real_commissioning,sector_135,-50541,50541,1572864,5,5,1,0,0.0556573046662674,0.0556577467359602451324462890625,4.420696928451324462890625E-7,0.0203722251362009,0.0203723870217800140380859375,1.618855791140380859375E-7,0.538014764901234,0.538015067577362060546875,3.02676128060546875E-7,0.461985235098766,0.461984932422637939453125,3.02676128060546875E-7,0.517642539765033,0.517642676830291748046875,1.37065258748046875E-7
36,real_commissioning,sector_195_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
37,real_commissioning,sector_195_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
38,real_commissioning,sector_195,-69040,-18499,1572864,4,4,1,0,0.020371987414024,0.02037182985804975032806396484375,1.5755597424967193603515625E-7,0.0556560227584391,0.0556563478894531726837158203125,3.251310140726837158203125E-7,0.538014005086232,0.538014113903045654296875,1.08816813654296875E-7,0.482357982327792,0.4823577404022216796875,2.419255703203125E-7,0.461985994913769,0.461985886096954345703125,1.08816814654296875E-7
39,real_commissioning,sector_255_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
40,real_commissioning,sector_255_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
