profile,index,source_row,case_id,ia,ib,ic,theta_e,we,id_ref,iq_ref,vdc,pi_reset,uq_zero_en,i_alpha_source,i_alpha_fixed,i_alpha_error,i_beta_source,i_beta_fixed,i_beta_error,id_source,id_fixed,id_error,iq_source,iq_fixed,iq_error,ud_lim_source,ud_lim_fixed,ud_lim_error,uq_lim_source,uq_lim_fixed,uq_lim_error,v_alpha_source,v_alpha_fixed,v_alpha_error,v_beta_source,v_beta_fixed,v_beta_error,ud_raw_source,ud_raw_fixed,ud_raw_error,uq_raw_source,uq_raw_fixed,uq_raw_error,t1_source,t1_fixed,t1_error,t2_source,t2_fixed,t2_error,duty_u_source,duty_u_fixed,duty_u_error,duty_v_source,duty_v_fixed,duty_v_error,duty_w_source,duty_w_fixed,duty_w_error,du_d_z_source,du_d_z_fixed,du_d_z_error,du_q_z_source,du_q_z_fixed,du_q_z_error,sector_source,sector_fixed,sat_old_source,sat_old_fixed
0,20,21,angle_3.1416,6554,-9830,3277,32768,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,-0.2,-0.20001220703125,1.2207031249988898e-05,0.23094010767585,0.230926513671875,1.3594003974992663e-05,1.30875,1.30877685546875,2.6855468749920064e-05,-0.939988109867949,-0.939971923828125,1.618603982400657e-05,-1.30875,-1.30877685546875,2.6855468749920064e-05,0.939988109867949,0.939971923828125,1.618603982400657e-05,1.30875,1.308763325214386,1.3325214385906392e-05,-0.939988109867949,-0.9399850964546204,3.0134133286452425e-06,0.0339198626062974,0.03391927853226662,5.840740307863634e-07,0.023939485351132397,0.023940616520121694,1.1311689892962162e-06,0.5289296739787149,0.5289299488067627,2.7482804776379766e-07,0.471070326021285,0.4710700511932373,2.748280477082865e-07,0.504990188627582,0.5049893260002136,8.626273684253505e-07,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0
0,21,22,angle_4.7124_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,22,23,angle_4.7124_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,23,24,angle_4.7124,6554,-9830,3277,49152,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.23094010767585,0.230926513671875,1.3594003974992663e-05,0.2,0.20001220703125,1.2207031249988898e-05,0.368761890132052,0.3687744140625,1.2523930447982945e-05,-0.8725,-0.87255859375,5.859374999994671e-05,-0.8725,-0.87255859375,5.859374999994671e-05,-0.368761890132051,-0.3687744140625,1.2523930448982146e-05,0.368761890132052,0.3687782287597656,1.6338627713607945e-05,-0.8725,-0.8725532293319702,5.322933197016155e-05,0.013306926456202598,0.013307378394529223,4.5193832662500377e-07,0.020612545898867598,0.020614150911569595,1.6050127019974492e-06,0.516959736177535,0.5169607400894165,1.0039118815141634e-06,0.496347190278667,0.4963465929031372,5.973755298205319e-07,0.483040263822465,0.4830392599105835,1.0039118815141634e-06,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
0,24,25,angle_6.2832_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,25,26,angle_6.2832_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,26,27,angle_6.2832,6554,-9830,3277,0,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.43625,0.43621826171875,3.1738281250026645e-05,0.0674881098679486,0.06744384765625,4.4262211698606335e-05,0.43625,0.43621826171875,3.1738281250026645e-05,0.0674881098679486,0.06744384765625,4.4262211698606335e-05,0.43625,0.436210036277771,3.996372222903055e-05,0.0674881098679486,0.06743180751800537,5.630234994323524e-05,0.012415214517799098,0.012415021192282438,1.933255166595288e-07,0.0024353365646306996,0.0024337393697351217,1.597194895577858e-06,0.49257472445878503,0.49257564544677734,9.209879923144371e-07,0.5049899389765841,0.5049906373023987,6.983258146187055e-07,0.507425275541215,0.5074243545532227,9.209879923144371e-07,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
0,27,28,sector_15_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,28,29,sector_15_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,29,30,sector_15,0,0,0,0,0,31651,8481,1572864,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10692570859303,2.106903076171875,2.2632421154966664e-05,0.564549042129873,0.564544677734375,4.36439549800216e-06,2.10692570859303,2.106903076171875,2.2632421154966664e-05,0.564549042129873,0.564544677734375,4.36439549800216e-06,2.10692570859303,2.1068952083587646,3.0500234265318227e-05,0.564549042129873,0.5645502209663391,1.1788364661091677e-06,0.0556560227584391,0.055655394215136766,6.28543302336193e-07,0.020371987414024,0.02037182985804975,1.5755597424990664e-07,0.461985994913769,0.46198636293411255,3.680203435330043e-07,0.5176420176722081,0.5176417827606201,2.3491158795962974e-07,0.538014005086232,0.5380136370658875,3.68020344532205e-07,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
