Solver=FixedStepDiscrete FixedStep=PMLSM_Ts_s effective_step=50us
Host_Enable_Schedule=[0 1 0 1] Host_Iq_Test_Mode=1 Host_Id_A=0 Host_Iq_A=0.2 Host_Load_N=0 StopTime=0.005
columns=t cmpA cmpB cmpC vd vq id iq ia ib ic x_mm v_mmps theta_e omega_e delayedA delayedB delayedC
0 5000 4685.1729166666673 5314.8270833333336 0 0 0 0 0 0 -0 0 0 0 0 5000 5000 5000
5.0000000000000002e-05 5000 4685.1729166666673 5314.8270833333336 2.3684757858670005e-15 1.7449488125825694 0 0 0 0 -0 0 0 0 0 5000 4685.1729166666673 5314.8270833333336
0.0001 5000 4721.1186287341925 5278.8813712658075 1.1842378929335002e-15 1.1906925541605302 6.7864635698194864e-17 0.049998533311821476 6.7864635698194864e-17 0.043299999999999866 -0.043299999999999936 0 0 0 0 5000 4685.1729166666673 5314.8270833333336
0.00015000000000000001 5000 4721.1186287341925 5278.8813712658075 1.1842378929335002e-15 0.99146119539190136 9.7188380865208568e-17 0.080720482601549653 9.7188380865208568e-17 0.06990598853868174 -0.069905988538681851 0 0.06099588359126111 0 0.0063874739929841379 5000 4721.1186287341925 5278.8813712658075
0.00020000000000000001 5000.0011394842059 4773.0345810842082 5226.9654189157918 3.1664663121516921e-07 0.99146119539185085 2.5779999290447151e-08 0.10362171520307452 -7.3140512579559778e-09 0.089739041406606893 -0.089739034092555639 3.049794179563056e-06 0.15947111544432066 3.1937369964920693e-07 0.016699776157988254 5000 4721.1186287341925 5278.8813712658075
0.00025000000000000001 5000.0011394842059 4773.0345810842082 5226.9654189157918 -2.8340086558936579e-06 0.70371378037627941 1.1962526494656709e-07 0.12492610093148532 -2.4584742183021925e-08 0.10818918929482371 -0.10818916471008153 1.102334995177909e-05 0.28588478519409205 1.1543625075486198e-06 0.02993778469796186 5000.0011394842059 4773.0345810842082 5226.9654189157918
0.00030000000000000003 5000.0049207744523 4803.4185593268412 5196.5814406731597 -1.7806270735961829e-06 0.7037137803797332 2.1729856466271095e-07 0.13648534716415001 -1.4455844982502598e-07 0.11819985016780073 -0.11819970560935091 2.5317589211483693e-05 0.43828881397637987 2.6512517424467125e-06 0.045897497271292616 5000.0011394842059 4773.0345810842082 5226.9654189157918
0.00035 5000.0049207744523 4803.4185593268412 5196.5814406731597 -1.309877374216667e-05 0.53530867947649075 4.6473814588690873e-07 0.14719514545836324 -2.6330767934312764e-07 0.12747486693495927 -0.12747460362727994 4.7232029910302694e-05 0.60479458516805218 4.9461266060113436e-06 0.063333940856494644 5000.0049207744523 4803.4185593268412 5196.5814406731597
0.00040000000000000002 5000.0109562566795 4813.7834330438072 5186.2165669561928 -1.1403613329807209e-05 0.5353086795152866 5.2397796603985067e-07 0.15228185316690313 -7.1145785362487536e-07 0.13188030910617807 -0.13187959764832444 7.7471759168705307e-05 0.78436581181950027 8.1128236488360765e-06 0.082138595737971207 5000.0049207744523 4803.4185593268412 5196.5814406731597
0.00045000000000000004 5000.0109562566795 4813.7834330438072 5186.2165669561928 -2.9220681218899715e-05 0.47786071854407292 7.8705528867409631e-07 0.15694715819371027 -1.1308002869033151e-06 0.1359207914458527 -0.13591966064556579 0.00011669004975968031 0.97014258512804419 1.2219753435734637e-05 0.10159309394576248 5000.0109562566795 4813.7834330438072 5186.2165669561928
0.00050000000000000001 5000.0183317801429 4814.0507001833112 5185.9492998166897 -2.6793313774931289e-05 0.47786071868633878 6.9357626108305898e-07 0.15957097845844087 -2.0669072214213869e-06 0.13819355449507248 -0.13819148758785105 0.00016519717901608251 1.1616108134350405 1.7299408133022758e-05 0.12164359992726624 5000.0109562566795 4813.7834330438072 5186.2165669561928
0.00055000000000000003 5000.0183317801429 4814.0507001833112 5185.9492998166897 -4.7523190138351745e-05 0.47637937454530721 8.4929935581903624e-07 0.16193561318631666 -2.9370124550701606e-06 0.140241823281851 -0.14023888626939593 0.00022327771968783455 1.3562799803462509 2.3381588129386072e-05 0.14202930741555639 5000.0183317801429 4814.0507001833112 5185.9492998166897
0.00060000000000000006 5000.0266353701554 4811.3576404392361 5188.6423595607648 -4.4140198505495571e-05 0.47637937487077947 5.7990902917903066e-07 0.16401486357994566 -4.4197648316456683e-06 0.14204324829020348 -0.14203882852537186 0.00029109171870514709 1.5538338915698164 3.048305350016389e-05 0.16271710462181915 5000.0183317801429 4814.0507001833112 5185.9492998166897
