# theta_u16 sin_raw cos_raw
417 2613 65484
418 2613 65484
419 2613 65484
420 2638 65483
421 2638 65483
422 2638 65483
423 2638 65483
424 2663 65482
425 2663 65482
426 2663 65482
427 2663 65482
428 2688 65481
429 2688 65481
430 2688 65481
431 2688 65481
432 2714 65480
433 2714 65480
434 2714 65480
435 2714 65480
436 2739 65479
437 2739 65479
438 2739 65479
439 2739 65479
440 2764 65478
441 2764 65478
442 2764 65478
443 2764 65478
444 2789 65477
445 2789 65477
446 2789 65477
447 2789 65477
448 2814 65476
449 2814 65476
450 2814 65476
451 2814 65476
452 2839 65474
453 2839 65474
454 2839 65474
455 2839 65474
456 2864 65473
457 2864 65473
458 2864 65473
459 2864 65473
460 2889 65472
461 2889 65472
462 2889 65472
463 2889 65472
464 2914 65471
465 2914 65471
466 2914 65471
467 2914 65471
468 2940 65470
469 2940 65470
470 2940 65470
471 2940 65470
472 2965 65469
473 2965 65469
474 2965 65469
475 2965 65469
476 2990 65468
477 2990 65468
478 2990 65468
479 2990 65468
480 3015 65467
481 3015 65467
482 3015 65467
483 3015 65467
484 3040 65465
485 3040 65465
486 3040 65465
487 3040 65465
488 3065 65464
489 3065 65464
490 3065 65464
491 3065 65464
492 3090 65463
493 3090 65463
494 3090 65463
495 3090 65463
496 3115 65462
497 3115 65462
498 3115 65462
499 3115 65462
500 3140 65461
501 3140 65461
502 3140 65461
503 3140 65461
504 3165 65460
505 3165 65460
506 3165 65460
507 3165 65460
508 3191 65458
509 3191 65458
510 3191 65458
511 3191 65458
512 3216 65457
513 3216 65457
514 3216 65457
515 3216 65457
516 3241 65456
517 3241 65456
518 3241 65456
519 3241 65456
520 3266 65455
521 3266 65455
522 3266 65455
523 3266 65455
524 3291 65453
525 3291 65453
526 3291 65453
527 3291 65453
528 3316 65452
529 3316 65452
530 3316 65452
531 3316 65452
532 3341 65451
533 3341 65451
534 3341 65451
535 3341 65451
536 3366 65449
537 3366 65449
538 3366 65449
539 3366 65449
540 3391 65448
541 3391 65448
542 3391 65448
543 3391 65448
544 3417 65447
545 3417 65447
546 3417 65447
547 3417 65447
548 3442 65446
549 3442 65446
550 3442 65446
551 3442 65446
552 3467 65444
553 3467 65444
554 3467 65444
555 3467 65444
556 3492 65443
557 3492 65443
558 3492 65443
559 3492 65443
560 3517 65442
561 3517 65442
562 3517 65442
563 3517 65442
564 3542 65440
565 3542 65440
566 3542 65440
567 3542 65440
568 3567 65439
569 3567 65439
570 3567 65439
571 3567 65439
572 3592 65437
573 3592 65437
574 3592 65437
575 3592 65437
576 3617 65436
577 3617 65436
578 3617 65436
579 3617 65436
580 3642 65435
581 3642 65435
582 3642 65435
583 3642 65435
584 3667 65433
585 3667 65433
586 3667 65433
587 3667 65433
588 3693 65432
589 3693 65432
590 3693 65432
591 3693 65432
592 3718 65430
593 3718 65430
594 3718 65430
595 3718 65430
596 3743 65429
597 3743 65429
598 3743 65429
599 3743 65429
600 3768 65428
601 3768 65428
602 3768 65428
603 3768 65428
604 3793 65426
605 3793 65426
606 3793 65426
607 3793 65426
608 3818 65425
609 3818 65425
610 3818 65425
611 3818 65425
612 3843 65423
613 3843 65423
614 3843 65423
615 3843 65423
616 3868 65422
617 3868 65422
618 3868 65422
619 3868 65422
620 3893 65420
621 3893 65420
622 3893 65420
623 3893 65420
624 3918 65419
625 3918 65419
626 3918 65419
627 3918 65419
628 3943 65417
629 3943 65417
630 3943 65417
631 3943 65417
632 3969 65416
633 3969 65416
634 3969 65416
635 3969 65416
636 3994 65414
637 3994 65414
638 3994 65414
639 3994 65414
640 4019 65413
641 4019 65413
642 4019 65413
643 4019 65413
644 4044 65411
645 4044 65411
646 4044 65411
647 4044 65411
648 4069 65410
649 4069 65410
650 4069 65410
651 4069 65410
652 4094 65408
653 4094 65408
654 4094 65408
655 4094 65408
656 4119 65406
657 4119 65406
658 4119 65406
659 4119 65406
660 4144 65405
661 4144 65405
662 4144 65405
663 4144 65405
664 4169 65403
665 4169 65403
666 4169 65403
667 4169 65403
668 4194 65402
669 4194 65402
670 4194 65402
671 4194 65402
672 4219 65400
673 4219 65400
674 4219 65400
675 4219 65400
676 4244 65398
677 4244 65398
678 4244 65398
679 4244 65398
680 4270 65397
681 4270 65397
682 4270 65397
683 4270 65397
684 4295 65395
685 4295 65395
686 4295 65395
687 4295 65395
688 4320 65393
689 4320 65393
690 4320 65393
691 4320 65393
692 4345 65392
693 4345 65392
694 4345 65392
695 4345 65392
696 4370 65390
697 4370 65390
698 4370 65390
699 4370 65390
700 4395 65388
701 4395 65388
702 4395 65388
703 4395 65388
704 4420 65387
705 4420 65387
706 4420 65387
707 4420 65387
708 4445 65385
709 4445 65385
710 4445 65385
711 4445 65385
712 4470 65383
713 4470 65383
714 4470 65383
715 4470 65383
716 4495 65382
717 4495 65382
718 4495 65382
719 4495 65382
720 4520 65380
721 4520 65380
722 4520 65380
723 4520 65380
724 4545 65378
725 4545 65378
726 4545 65378
727 4545 65378
728 4570 65376
729 4570 65376
730 4570 65376
731 4570 65376
732 4596 65375
733 4596 65375
734 4596 65375
735 4596 65375
736 4621 65373
737 4621 65373
738 4621 65373
739 4621 65373
740 4646 65371
741 4646 65371
742 4646 65371
743 4646 65371
744 4671 65369
745 4671 65369
746 4671 65369
747 4671 65369
748 4696 65368
749 4696 65368
750 4696 65368
751 4696 65368
752 4721 65366
753 4721 65366
754 4721 65366
755 4721 65366
756 4746 65364
757 4746 65364
758 4746 65364
759 4746 65364
760 4771 65362
761 4771 65362
762 4771 65362
763 4771 65362
764 4796 65360
765 4796 65360
766 4796 65360
767 4796 65360
768 4821 65358
769 4821 65358
770 4821 65358
771 4821 65358
772 4846 65357
773 4846 65357
774 4846 65357
775 4846 65357
776 4871 65355
777 4871 65355
778 4871 65355
779 4871 65355
780 4896 65353
781 4896 65353
782 4896 65353
783 4896 65353
784 4921 65351
785 4921 65351
786 4921 65351
787 4921 65351
788 4946 65349
789 4946 65349
790 4946 65349
791 4946 65349
792 4972 65347
793 4972 65347
794 4972 65347
795 4972 65347
796 4997 65345
797 4997 65345
798 4997 65345
799 4997 65345
800 5022 65343
801 5022 65343
802 5022 65343
803 5022 65343
804 5047 65341
805 5047 65341
806 5047 65341
807 5047 65341
808 5072 65339
809 5072 65339
810 5072 65339
811 5072 65339
812 5097 65338
813 5097 65338
814 5097 65338
815 5097 65338
816 5122 65336
817 5122 65336
818 5122 65336
819 5122 65336
820 5147 65334
821 5147 65334
822 5147 65334
823 5147 65334
824 5172 65332
825 5172 65332
826 5172 65332
827 5172 65332
828 5197 65330
829 5197 65330
830 5197 65330
831 5197 65330
832 5222 65328
833 5222 65328
834 5222 65328
835 5222 65328
836 5247 65326
837 5247 65326
838 5247 65326
839 5247 65326
840 5272 65324
841 5272 65324
842 5272 65324
843 5272 65324
844 5297 65322
845 5297 65322
846 5297 65322
847 5297 65322
848 5322 65320
849 5322 65320
850 5322 65320
851 5322 65320
852 5347 65317
853 5347 65317
854 5347 65317
855 5347 65317
856 5372 65315
857 5372 65315
858 5372 65315
859 5372 65315
860 5397 65313
861 5397 65313
862 5397 65313
863 5397 65313
864 5422 65311
865 5422 65311
866 5422 65311
867 5422 65311
868 5448 65309
869 5448 65309
870 5448 65309
871 5448 65309
872 5473 65307
873 5473 65307
874 5473 65307
875 5473 65307
876 5498 65305
877 5498 65305
878 5498 65305
879 5498 65305
880 5523 65303
881 5523 65303
882 5523 65303
883 5523 65303
884 5548 65301
885 5548 65301
886 5548 65301
887 5548 65301
888 5573 65299
889 5573 65299
890 5573 65299
891 5573 65299
892 5598 65296
893 5598 65296
894 5598 65296
895 5598 65296
896 5623 65294
897 5623 65294
898 5623 65294
899 5623 65294
900 5648 65292
901 5648 65292
902 5648 65292
903 5648 65292
904 5673 65290
905 5673 65290
906 5673 65290
907 5673 65290
908 5698 65288
909 5698 65288
910 5698 65288
911 5698 65288
912 5723 65286
913 5723 65286
914 5723 65286
915 5723 65286
916 5748 65283
917 5748 65283
918 5748 65283
919 5748 65283
920 5773 65281
921 5773 65281
922 5773 65281
923 5773 65281
924 5798 65279
925 5798 65279
926 5798 65279
927 5798 65279
928 5823 65277
929 5823 65277
930 5823 65277
931 5823 65277
932 5848 65275
933 5848 65275
934 5848 65275
935 5848 65275
936 5873 65272
937 5873 65272
938 5873 65272
939 5873 65272
940 5898 65270
941 5898 65270
942 5898 65270
943 5898 65270
944 5923 65268
945 5923 65268
946 5923 65268
947 5923 65268
948 5948 65265
949 5948 65265
950 5948 65265
951 5948 65265
952 5973 65263
953 5973 65263
954 5973 65263
955 5973 65263
956 5998 65261
957 5998 65261
958 5998 65261
959 5998 65261
960 6023 65259
961 6023 65259
962 6023 65259
963 6023 65259
964 6048 65256
965 6048 65256
966 6048 65256
967 6048 65256
968 6073 65254
969 6073 65254
970 6073 65254
971 6073 65254
972 6098 65252
973 6098 65252
974 6098 65252
975 6098 65252
976 6123 65249
977 6123 65249
978 6123 65249
979 6123 65249
980 6148 65247
981 6148 65247
982 6148 65247
983 6148 65247
984 6173 65245
985 6173 65245
986 6173 65245
987 6173 65245
988 6199 65242
989 6199 65242
990 6199 65242
991 6199 65242
992 6224 65240
993 6224 65240
994 6224 65240
995 6224 65240
996 6249 65237
997 6249 65237
998 6249 65237
999 6249 65237
1000 6274 65235
1001 6274 65235
1002 6274 65235
1003 6274 65235
1004 6299 65233
1005 6299 65233
1006 6299 65233
1007 6299 65233
1008 6324 65230
1009 6324 65230
1010 6324 65230
1011 6324 65230
1012 6349 65228
1013 6349 65228
1014 6349 65228
1015 6349 65228
1016 6374 65225
1017 6374 65225
1018 6374 65225
1019 6374 65225
1020 6399 65223
1021 6399 65223
1022 6399 65223
1023 6399 65223
1024 6424 65220
1025 6424 65220
1026 6424 65220
1027 6424 65220
1028 6449 65218
1029 6449 65218
1030 6449 65218
1031 6449 65218
1032 6474 65215
1033 6474 65215
1034 6474 65215
1035 6474 65215
1036 6499 65213
1037 6499 65213
1038 6499 65213
1039 6499 65213
1040 6524 65210
1041 6524 65210
1042 6524 65210
1043 6524 65210
1044 6549 65208
